Date,Open,High,Low,Close,Volume,Adj Close
2008-04-30,92.25,94.51,92.17,93.07,29770300,93.07
2008-04-29,92.42,93.64,91.79,91.79,29445700,91.79
2008-04-28,92.57,93.71,92.32,92.45,17319300,92.45
2008-04-25,93.21,93.40,91.71,92.46,23369600,92.46
2008-04-24,93.41,93.66,92.14,92.60,23534400,92.60
2008-04-23,94.27,94.48,93.28,94.22,23544400,94.22
2008-04-22,94.10,94.93,93.81,94.39,20719000,94.39
2008-04-21,94.00,94.47,93.38,94.26,17254200,94.26
2008-04-18,93.36,94.45,92.93,94.00,25910800,94.00
2008-04-17,92.48,93.79,92.20,93.38,22887400,93.38
2008-04-16,90.90,93.00,90.76,92.89,26870600,92.89
2008-04-15,90.06,90.89,89.65,90.80,19495700,90.80
2008-04-14,88.74,89.98,88.53,89.70,19425200,89.70
2008-04-11,88.90,89.75,88.49,88.62,17210300,88.62
2008-04-10,89.53,89.99,88.66,89.55,21774600,89.55
2008-04-09,89.72,90.15,89.11,89.70,21920900,89.70
2008-04-08,88.73,89.74,88.23,89.61,15832200,89.61
2008-04-07,89.32,89.95,88.69,88.92,19585500,88.92
2008-04-04,88.48,89.50,88.31,88.74,18607900,88.74
2008-04-03,88.00,89.38,87.90,88.23,20083800,88.23
2008-04-02,86.85,89.12,86.69,88.52,23236000,88.52
2008-04-01,84.80,87.04,84.26,87.02,23961500,87.02
2008-03-31,85.69,86.38,84.58,84.58,36842400,84.58
2008-03-28,86.05,87.08,85.00,85.22,21672600,85.22
2008-03-27,86.82,87.50,86.07,86.20,21760300,86.20
2008-03-26,85.23,87.00,84.91,86.26,23024000,86.26
2008-03-25,86.26,86.38,84.33,85.20,27080200,85.20
2008-03-24,85.17,86.95,85.04,85.95,22339200,85.95
2008-03-20,84.18,85.41,82.75,85.00,44895100,85.00
2008-03-19,87.81,88.50,84.35,84.43,35073600,84.43
2008-03-18,86.61,88.47,86.12,88.47,33333800,88.47
2008-03-17,83.88,86.75,83.54,85.79,39028700,85.79
2008-03-14,87.74,87.86,84.79,85.91,35741200,85.91
2008-03-13,85.33,87.50,84.90,87.05,29347400,87.05
2008-03-12,86.61,87.23,85.68,85.97,26617900,85.97
2008-03-11,83.96,86.68,83.55,86.68,34835400,86.68
2008-03-10,82.75,83.50,82.00,82.46,32432800,82.46
2008-03-07,83.91,84.06,81.97,82.49,30749200,82.49
2008-03-06,86.93,87.07,84.44,84.51,28977000,84.51
2008-03-05,86.80,87.62,86.05,87.19,30812700,87.19
2008-03-04,87.47,87.99,85.50,86.69,30372200,86.69
2008-03-03,86.83,88.41,86.58,87.75,23192300,87.75
2008-02-29,88.77,89.29,86.25,87.01,26540200,87.01
2008-02-28,89.12,90.00,88.85,89.38,24999200,89.38
2008-02-27,89.40,90.17,89.12,89.39,20323100,89.39
