Date,Open,High,Low,Close,Volume,Adj Close
2008-04-30,77.00,78.24,76.85,76.90,4690900,76.90
2008-04-29,77.19,77.73,76.78,76.86,3612100,76.86
2008-04-28,77.60,77.98,76.88,77.13,5155000,77.13
2008-04-25,78.85,78.87,76.46,77.82,5551200,77.82
2008-04-24,81.19,81.19,77.55,79.13,6323400,79.13
2008-04-23,81.52,81.68,80.43,80.63,3623900,80.63
2008-04-22,82.15,82.20,80.53,81.18,2724400,81.18
2008-04-21,83.00,83.04,81.90,82.34,2907900,82.34
2008-04-18,81.84,83.22,81.17,82.90,4716600,82.90
2008-04-17,80.57,81.06,79.28,80.65,3207100,80.65
2008-04-16,79.35,81.19,79.12,80.69,5284800,80.69
2008-04-15,78.61,78.94,78.27,78.84,2672600,78.84
2008-04-14,78.29,79.04,77.71,78.26,4447800,78.26
2008-04-11,78.80,79.08,78.13,78.47,5613200,78.47
2008-04-10,79.69,80.91,79.45,80.35,3747300,80.35
2008-04-09,79.99,80.12,78.80,79.59,2967100,79.59
2008-04-08,79.50,80.26,79.48,79.88,3469400,79.88
2008-04-07,80.95,81.62,80.16,80.19,3081600,80.19
2008-04-04,80.30,81.07,79.42,80.52,2800700,80.52
2008-04-03,80.59,81.00,79.83,80.17,3280600,80.17
2008-04-02,81.24,81.58,80.59,80.91,2871700,80.91
2008-04-01,79.61,81.53,79.44,81.32,4813600,81.32
2008-03-31,78.06,79.48,78.06,79.15,3505600,79.15
2008-03-28,78.39,78.94,77.85,77.95,2006400,77.95
2008-03-27,78.80,79.11,77.86,77.86,3600200,77.86
2008-03-26,78.73,78.77,77.88,78.66,3700200,78.66
2008-03-25,78.83,79.25,78.27,78.98,3888700,78.98
2008-03-24,78.15,79.21,77.91,78.64,4342200,78.64
2008-03-20,78.50,79.34,77.46,77.98,6937300,77.98
2008-03-19,81.24,81.68,78.54,79.47,4450700,79.47
2008-03-18,79.84,80.95,79.02,80.95,4569000,80.95
2008-03-17,75.64,79.26,75.24,78.51,5050600,78.51
2008-03-14,79.72,79.72,76.62,77.53,4882800,77.53
2008-03-13,77.49,79.58,77.16,79.08,4292300,79.08
2008-03-12,77.97,79.44,77.97,78.42,3961900,78.42
2008-03-11,77.30,78.00,76.00,77.95,4377800,77.95
2008-03-10,76.73,77.11,75.28,75.48,4206300,75.48
2008-03-07,77.41,77.99,76.33,76.51,5199100,76.51
2008-03-06,78.70,79.24,77.89,77.95,4713900,77.95
2008-03-05,78.91,79.61,77.92,78.93,3866500,78.93
2008-03-04,77.92,78.73,77.49,78.41,4390000,78.41
2008-03-03,78.16,78.65,77.62,78.49,2425500,78.49
2008-02-29,79.65,79.65,78.19,78.40,3091300,78.40
2008-02-28,80.06,80.28,79.25,79.80,2701400,79.80
2008-02-27,80.68,81.15,80.09,80.48,2804800,80.48
2008-02-26,80.60,81.59,80.46,81.29,3177700,81.29
2008-02-25,79.56,81.04,79.09,81.00,2936600,81.00
2008-02-22,79.32,79.81,78.24,79.67,3490900,79.67
2008-02-21,80.06,80.65,78.68,78.96,4084000,78.96
2008-02-20,79.32,80.20,78.44,79.94,3242400,79.94
2008-02-19,80.25,80.86,79.56,79.85,3496500,79.35
2008-02-15,80.14,80.61,79.54,79.95,3632600,79.45
2008-02-14,81.24,81.65,80.20,80.29,2485700,79.79
2008-02-13,79.55,81.51,79.48,81.38,3780900,80.87
2008-02-12,79.61,79.84,78.60,79.10,3663800,78.60
2008-02-11,78.38,79.57,77.84,79.28,2097300,78.78
2008-02-08,78.85,79.19,77.82,78.56,2822000,78.07
2008-02-07,78.60,79.54,78.28,79.12,3484400,78.62
2008-02-06,79.47,79.94,78.81,79.18,3871100,78.68
2008-02-05,79.31,79.91,78.91,79.09,4802400,78.59
2008-02-04,81.23,81.50,80.49,80.57,3377400,80.07
2008-02-01,79.79,81.28,79.64,81.21,4739800,80.70
2008-01-31,77.33,80.00,77.04,79.65,5432200,79.15
2008-01-30,77.82,79.49,77.49,78.22,4583300,77.73
2008-01-29,77.80,78.68,76.20,78.02,5061700,77.53
2008-01-28,76.02,77.52,75.60,77.44,4611700,76.96
2008-01-25,76.82,76.82,75.07,75.51,3910200,75.04
2008-01-24,76.40,76.83,75.00,75.73,4805900,75.26
2008-01-23,73.55,76.23,72.05,76.10,7000800,75.62
2008-01-22,72.07,75.61,72.07,75.16,6573400,74.69
2008-01-18,75.47,76.44,74.06,74.91,7053200,74.44
2008-01-17,77.38,77.69,74.47,74.96,7093000,74.49
2008-01-16,76.83,78.58,76.83,77.30,4467500,76.82
2008-01-15,78.00,78.70,77.03,77.18,4206500,76.70
2008-01-14,78.13,78.64,77.50,78.50,2927600,78.01
